feed_rate,depth_of_cut,spindle_speed,tool_condition,nn_dist_energy,nn_dist_roughness,is_ood_energy,is_ood_roughness,is_ood_any
0.092531968520804,0.317005658427141,10467.301195068532,0.053,0.19355960420611237,0.6351812022789852,False,True,True
0.0905448501413768,0.3270252960156996,11033.58443973179,0.053,0.24511391472800795,0.6244726936853681,True,True,True
0.0948293643195818,0.2830661444149567,10521.223182456715,0.053,0.20943329961414786,0.6464780891322809,True,True,True
0.092430296081795,0.3321991415222873,11219.295473766835,0.053,0.2766642209302198,0.6210441506661304,True,True,True
0.0933084987239055,0.3072600521994462,11269.162031769429,0.053,0.28630008926528216,0.6456159474589446,True,True,True
0.0930627190176753,0.2840900198826622,10984.12300255917,0.053,0.2523420282695347,0.6436523161122407,True,True,True
0.092531968520804,0.2514368271924561,10467.301195068532,0.053,0.19355960420611237,0.6400223041489688,False,True,True
0.093849493985268,0.3428331190334222,10944.54363479524,0.053,0.25085421641833644,0.6137977401186859,True,True,True
0.0927024167675739,0.3081284167003834,11100.428761513112,0.053,0.263851858083412,0.6439750781637041,True,True,True
0.0930237236278125,0.2920129613067347,11399.82019040342,0.053,0.30165854948814674,0.6451477581060675,True,True,True
0.0928819775981169,0.316500278481691,11034.914257305903,0.053,0.2572003589554673,0.6360768999417705,True,True,True
0.091419078947454,0.3268647391005536,11033.58443973179,0.053,0.24960612847248076,0.6250014175592729,True,True,True
0.0933084987239055,0.2858957264889889,10985.439128839442,0.053,0.2533124218102207,0.6443143992562733,True,True,True
0.0923077024695221,0.3124284413154796,10597.81606957511,0.053,0.2044555194531073,0.639344046183249,True,True,True
0.0926571970450038,0.2802777714203067,10818.343812149464,0.053,0.22991134088060464,0.6425206539111403,True,True,True
0.0927024167675739,0.255547412571891,11086.67398994881,0.053,0.2623049771413453,0.6402900027995865,True,True,True
0.0908759340843856,0.336909161027544,10815.044920679977,0.053,0.22078958808611432,0.6157241494042549,True,True,True
0.0939246302690174,0.3218304328510107,11154.546414576787,0.053,0.2749355876747095,0.6326076618589226,True,True,True
0.0935968975063335,0.2840664376094369,10602.576544534078,0.053,0.2111064245281435,0.6444153660514133,True,True,True
0.0938090823229298,0.2715603219287659,10654.598910387498,0.053,0.21768527414611263,0.64296805759992,True,True,True
0.0920091477325048,0.3251960816674209,11252.027546724954,0.053,0.27900761219696524,0.6269832500079857,True,True,True
0.0923629251762328,0.2609904753125267,11205.128937588534,0.053,0.2747301752440053,0.6401493464035615,True,True,True
0.092347077523788,0.2768150193556842,10559.122872179032,0.053,0.20093936936679183,0.6416760500562184,True,True,True
0.0913952313566183,0.2620178053985009,11063.98116721298,0.053,0.2533633304474255,0.6394209239369513,True,True,True
0.0906597665149565,0.3135504889588735,10844.680414501629,0.053,0.22314893343870107,0.6371931290964138,True,True,True
0.0933464519129492,0.3410658982032049,10449.0387778099,0.053,0.19545464733531276,0.6144825681896405,False,True,True
0.0919284452477172,0.2920129613067347,11400.351587173069,0.053,0.2970174799410568,0.6439790075377453,True,True,True
0.0930725339399025,0.3512621250070848,11121.528306370232,0.053,0.2676142991510464,0.6055822491633768,True,True,True
0.0945792277760136,0.2794647369757468,11080.737214172495,0.053,0.2689937566961031,0.6453957919888046,True,True,True
0.0927315869627277,0.3281133425316467,10566.596889959055,0.053,0.20335200176350937,0.6250727375924177,True,True,True
0.0949881475198294,0.3219406700866416,11342.198463173132,0.053,0.303692357361439,0.6345830619418822,True,True,True
