,Tool_ID,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Fx,Fy,Fz,F,Exp
445,-0.04282497456685921,-0.036143197509616684,0.0010089056512440988,-0.03886900392468571,0.006201494948148322,-0.00929729438590561,-0.008093551568493947,0.010249890293141281,-0.01753047499358666,0.0,0.1567735775861515,0.0013489138357683785,0.0034742484766271853,-0.03844449654786891,-0.003147767012933402,0.0
137,-0.09365432352418775,-0.019019009502925132,-0.0005334458834821051,0.008939254739699965,-0.003870785585075657,-0.015181249773280246,-0.0021949423088945953,-0.0018743317245801408,0.014195651412297547,0.0,-0.02376941016410298,0.0031616411239868128,0.008792392813227934,0.02124862452708895,0.006729253633608337,0.0
250,0.0794271974633877,-0.04554340477173065,-0.0015565448140807958,-0.006199980270930479,-0.0036509039989466984,-0.03339270436641933,-0.009863801760482557,-0.01207364018942068,0.001617309477782535,0.0,-0.14816050727280378,-0.011895380853989265,-0.012765702707041708,-0.04642183277544067,-0.005273328643617415,0.0
533,-0.020853311405855203,0.036201670929580154,-0.002007363887390523,-0.005686000325222157,0.0026299312535295613,0.021307674085369762,0.04246644574142058,-0.013623258211992964,-0.020122312985552178,0.0,-0.07669165303332272,-0.01881941433925897,0.0088068623009375,0.038009626388266,0.025045104817356795,0.0
65,-0.13650459462141323,0.04208590886092234,-0.0002449716779365029,0.003931767449201445,0.008073497491078012,-0.009906510593508944,-0.01469718561770725,0.000322179878715237,-0.005127032263216249,0.0,0.16527634620748344,-0.0007842869603760401,-0.008331960823074911,0.0159952016117991,0.0023147560299857984,0.0
63,-0.13707989097153023,0.03950941227981727,0.0006499271623503578,0.0030237369500784655,0.008073497491078012,-0.011580843483249266,-0.012344652597521863,0.01995276072034809,-0.005127032263216249,0.0,0.1636721373203462,0.0024487018121073247,0.00567920045136721,0.01570340841915294,0.0028133200289974522,0.0
523,-0.03681122628891853,0.03321212168983933,-0.00468709109946068,-0.002941910282894238,0.002883468252194069,0.04311822412970056,0.04547520431548155,0.0030224588838577444,-0.027891636902732216,0.0,-0.026310576943226076,0.0011781280676869616,0.009367390677072368,0.023857075276331276,0.014984320103536978,0.0
139,-0.12218732867745373,-0.014678258202292587,-0.0011019159300928328,-0.004289061809072536,0.009028274551621534,-0.014209731349008062,-0.007429680181709943,-0.006897769226421187,-0.004076703911929583,0.0,0.15802707138711025,-0.008830083414671296,-0.0003543675518513943,0.011244292278507095,0.002335412682233446,0.0
23,-0.07955632851617236,-0.013986170000824466,0.0059025521148860765,0.01845341818665729,0.0062330222598401906,0.050259659452885234,0.004708230735018505,-0.0055989305575750966,-0.007576512814181432,0.0,-0.0320288135819666,0.007751187751487908,0.0021183272621194253,-0.013057657760955492,0.0035839875423799208,0.0
109,-0.09238247427525492,0.020727478204179188,-0.012826847757856337,-0.005180378393810758,-0.0007102408768406285,-0.0546592821602066,-0.00801789325072352,-0.007979462539443063,-0.004005508393443925,0.0,-0.1104034205945452,-0.0008858356734982868,-0.0008175003021180659,0.012932145191023373,0.003191956618483626,0.0
212,0.11022498154190362,-0.08385030438365026,-6.500239246203998e-05,-0.005941632437994232,0.007227237077026748,0.051650833726331745,0.003963105347831158,0.001122459013798459,-0.005604980732489311,0.0,-0.15846956644298116,-0.010440575232756032,-0.012454025546953943,-0.022260220987415855,-0.0005496166845462465,0.0
559,-0.05363610713597628,-0.04413663042821264,0.0011766955493674506,-0.024205904131240845,0.0033441319409869496,0.011510821553662948,0.00832598545054269,0.002018839159204518,-0.022015629759514717,0.0,0.1609016989173039,0.012801901449788258,0.008691006029482574,0.025496922978173683,0.02085238326313208,0.0
319,0.10184667832740897,-0.05292999375169184,-0.006057909056767146,0.006510085180912296,-0.007378684481778402,0.004124957113422092,0.0013625604785380146,-0.00386037046152502,0.017461255085819694,0.0,-0.033807514637676395,0.019491590739545296,0.0069290507921511806,0.04113602778277095,0.001776129633696596,0.0
644,0.11270765731424237,-0.022789614603900648,0.006919954713989007,-0.021402014570073968,0.004702358516390258,-0.0017963884525330777,-0.006587380721939045,0.009535591911684923,0.03737561740182599,0.0,-0.022262307016337347,0.009916116808021149,0.007512555869465066,0.02151357445155898,-0.006946818449734149,0.0
342,-0.05488828732289691,-0.025420283249251607,0.0047321229528864885,0.04600663389051493,0.009456622730435772,-0.033579713118217835,-1.2842395120347526e-05,0.006798227962675033,-0.011926706827296848,0.0,0.2764962934149806,0.0032912147637444607,0.023510101838001667,-0.006470314922942578,0.002895672513037644,0.0
