Commands,delta_X,delta_Y,delta_Z,delta_xy,delta_S,F_val,S,D_W,Toolchange,TurnOp,Material,Workpiece,Filename,ENERGY|x,ENERGY|y,ENERGY|z,ENERGY|S,ENERGY|T,time_s
G0,0.0,0.0,0.0,0.0,0.0,0.046272367467284366,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.045106408,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.04237995046225174,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.795838354,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.05598778542843974,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.445858906,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.06408013623943694,0.0037002083333333327,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.9757762240000005,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.04584690349683094,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.053522214,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.05321103966635193,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.070353814,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.04313968231332536,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.46321378,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.037911098362891374,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.098406494,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03836624927393874,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.552180838,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.033521348561398406,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.15330958,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.030725350672376705,0.0037002083333333327,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.348598564,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.028655816772294784,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.760572134,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03484866476225554,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.024668032,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03404133814902555,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.647159180000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.029857191646371836,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.838718874,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.028883228968380754,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.302912784,0.024
