,Commands,delta_X,delta_Y,delta_Z,delta_xy,delta_S,F_val,S,D_W,Toolchange,TurnOp,Material,time_s,cutting_speed_vc
164,0.0,-0.36447511684802864,-0.49497346269984527,-0.24264664406096306,-0.3327580489404892,0.015606216389794625,-0.30785353510491936,0.2202668298118732,0.0,0.0,0.0,0.07579196120725461,-0.2617071841142454,0.5121540122345701
182,0.0,-0.696455381736508,-1.0379951983734153,-0.30142090420381384,-0.5284477165350618,0.0013729784936876745,-1.9304262626254962,-0.2612699136184926,0.0,0.0,0.0,-0.1692912586672693,-0.24444554510180608,-0.9239855418736348
109,0.0,0.5125297145868363,-0.06921156723024986,8.107560733553376,7.8679660446399,-0.6540542778233671,2.59993646987331,1.0416828923257155,0.0,0.0,0.0,-0.5998109622353966,21.408267319456883,0.13398133844174265
18,0.0,-0.8253013705109742,-0.808406031278194,-0.3792265934132054,-0.5013527133345402,-0.5892148728767499,0.331709555625663,-0.21883055252469205,0.0,0.0,0.0,-0.32917669297369295,20.504836706199647,-1.0397744000987306
30,0.0,-0.7611483640022934,-0.9259049042753218,-0.3816884741951806,-0.5521314957985002,-0.49984426833606355,-1.8955865642766685,-0.18892292327470842,0.0,0.0,0.0,0.27231385891637033,20.822064599386277,-1.0915591154575106
104,0.0,-0.8250296825520073,-0.6009672621122044,-0.34698474859015804,-0.4489462692449639,0.047507823565624094,0.08680956701172085,0.46066399413437276,0.0,0.0,0.0,-0.2832286597432013,21.27010412336846,1.1863922246261227
101,0.0,-0.47279581873830007,-0.04817748429111566,-0.2943261035385991,-0.4143147063654138,0.003618108020797189,-0.3952806826499083,-0.024838424614325953,0.0,0.0,0.0,-0.1915974561066622,-0.7447615323262488,-0.5442732125999687
217,0.0,8.741088552240319,9.086391480612491,1.316388110070781,6.538494841359878,-0.9749314494518967,2.6398916009929447,4.453086293618873,0.0,0.0,0.0,-0.43421372954418685,-1.4508638793485302,2.8907774206878067
132,0.0,-0.847667850084029,-1.2080131450211542,-0.301450073146901,-0.606890325762286,-0.0013955783382120876,-2.471533236783217,-0.27130065103835593,0.0,0.0,0.0,0.14943519903299324,-0.3178278669757277,-1.0216451752988378
170,0.0,-0.20490058516724338,-0.42234376243916677,-0.2362500223105735,-0.13499709252487305,0.015141569355957167,0.2273088880429673,0.5498975786326278,0.0,0.0,0.0,0.11854893725690814,-0.045332201962594194,0.8118904798583011
148,0.0,-0.8070200840735093,-0.8904742350145536,-0.37448577538081373,-0.517456331397533,-0.6193796396682096,0.3041333474195537,0.2045471343390327,0.0,0.0,0.0,0.2903846401885158,20.76632351655514,-0.6772431443660993
16,0.0,10.190403171643615,11.361949879775171,1.3515613247334841,8.075686262653036,0.061132877234720426,2.5806258198004537,6.0454722306088815,0.0,0.0,0.0,-1.160347877942055,-2.261403676956282,6.619628783089302
154,0.0,7.950035207651483,9.132710349366356,4.640963346807765,5.880469886387658,0.04094116012164585,-2.155496025801941,0.037565156507573576,0.0,0.0,0.0,0.2426059967870827,-3.107862714992748,1.1282376228554087
79,0.0,7.965237960985521,8.662072365868847,4.677885962115636,5.951378975244865,0.03777634477893018,-1.8953823911412822,0.07267128959732083,0.0,0.0,0.0,-0.3652934070230905,-2.9897688535133997,1.415680144285624
219,0.0,-0.286354956319381,-0.9683399777181155,6.923862840077176,-0.23264385674587176,0.003061650531062206,0.8560329479614424,0.5808777853250949,0.0,0.0,0.0,-0.2958668790325391,-0.5021022128502658,-0.8000688495283972
201,0.0,-0.7858895543286957,-0.8224246294543776,-0.37495408456197377,-0.48799050751514916,0.1104330670536031,0.34247118391286074,0.17805866507720647,0.0,0.0,0.0,-0.33009008344226715,20.793618882702148,-0.6419470127758337
143,0.0,0.520151629246024,-0.2451444939205901,-0.2844786947960636,-0.3266960377661164,0.010105119291694102,0.09294470323223646,0.2626058611096111,0.0,0.0,0.0,0.1371383673788478,-0.1520655834651229,-0.3701146196897575
176,0.0,-0.4832148717069834,-0.8593188673020582,-0.2995302593983942,-0.542448509166386,0.0010221812388837934,-2.218316647682236,-0.21672121408037529,0.0,0.0,0.0,-0.13834376957841657,-0.2728772581070755,-0.8620519794358298
120,0.0,-0.7257557082685769,-1.111133446889994,-0.29897978989674523,-0.5302326958879813,0.00304203917187471,-1.9533327214445708,-0.22727072289047,0.0,0.0,0.0,0.13574578316213154,-0.2826492975990244,-0.9780381628281533
45,0.0,-0.33990716101653595,-0.9739709674432689,6.8240337544960346,-0.2599777181688264,-0.3110929248593041,-0.08975425174469898,0.9747892831257879,0.0,0.0,0.0,0.13489995704902402,-0.5243794056037072,-0.5001157214895179
147,0.0,-0.3700608076900969,3.0241334337287786,-0.2666426106935251,-0.311625565710778,0.008298299118212584,-0.041848061675123636,0.42636436814393364,0.0,0.0,0.0,0.3383811072599283,-0.2253698597172503,-0.49032959935345405
86,0.0,-0.35198179051019785,-1.0181605369127258,6.844689484956309,-0.36922856200806853,0.0035470938811387694,0.008479789091024904,0.9182898980820646,0.0,0.0,0.0,-0.16000189844695478,-0.4846159111837594,-0.47319697272783867
