number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
24,0.05242011293940172,2026-06-26 21:27:29.495406,2026-06-26 21:27:33.657219,0 days 00:00:04.161813,0.9092441475035004,0.015693176267835486,4,1,600,0.0008746908052396938,0.0026141827856161234,0.7822407757766587,COMPLETE
25,0.05703914164694722,2026-06-26 21:27:33.666108,2026-06-26 21:27:37.140951,0 days 00:00:03.474843,0.7947361604776649,0.012868720709012878,3,3,600,1.5086747669412497e-05,0.0037879753795507652,0.7140233007160817,COMPLETE
26,0.06520737907925009,2026-06-26 21:27:37.149517,2026-06-26 21:27:42.081989,0 days 00:00:04.932472,0.8749576865012335,0.003762380324711434,5,2,600,0.0012118806259882144,0.11068929137846496,0.784022123794139,COMPLETE
27,0.05112266112381967,2026-06-26 21:27:42.089287,2026-06-26 21:27:47.635480,0 days 00:00:05.546193,0.9121416654438688,0.008673036937609218,4,1,800,3.254197575969676e-05,0.002912764105213023,0.9950311341110949,COMPLETE
28,0.053772376870789305,2026-06-26 21:27:47.643524,2026-06-26 21:27:53.474607,0 days 00:00:05.831083,0.976312516318182,0.009568216623226851,4,3,850,3.126019623217349e-05,0.001083494825680951,0.9735053230611455,COMPLETE
29,0.05463829215536435,2026-06-26 21:27:53.482086,2026-06-26 21:28:01.248188,0 days 00:00:07.766102,0.741300707658603,0.0031399977801021407,5,2,950,3.0402606592962744e-06,0.01298597878862798,0.9961441900780608,COMPLETE
30,0.05611165190270971,2026-06-26 21:28:01.255338,2026-06-26 21:28:07.416417,0 days 00:00:06.161079,0.8474390445680058,0.008359908324008673,4,5,900,0.0005074837932333103,0.00011245482453757463,0.7160511756065313,COMPLETE
31,0.052295503637856754,2026-06-26 21:28:07.426991,2026-06-26 21:28:11.467806,0 days 00:00:04.040815,0.9102854317596334,0.019854381643104612,3,1,700,0.00041243002375394573,0.1876051034527937,0.8860719756643763,COMPLETE
32,0.052232755438232234,2026-06-26 21:28:11.475541,2026-06-26 21:28:15.755310,0 days 00:00:04.279769,0.9044881413371146,0.017850743326077667,3,1,750,0.0003189101122469398,0.07944645257886537,0.9426742629816112,COMPLETE
33,0.06689104999814457,2026-06-26 21:28:15.762662,2026-06-26 21:28:20.099617,0 days 00:00:04.336955,0.8585332642822889,0.004464502222705047,3,1,750,4.461345620336528e-05,0.13649578393748443,0.9446511354681628,COMPLETE
34,0.05730347012237015,2026-06-26 21:28:20.107069,2026-06-26 21:28:24.147348,0 days 00:00:04.040279,0.9639090790266995,0.007193406024674444,3,2,700,0.00019358090577957935,0.05790056584415584,0.9309423606071926,COMPLETE
35,0.054784618086312374,2026-06-26 21:28:24.154650,2026-06-26 21:28:28.746828,0 days 00:00:04.592178,0.8189331665215034,0.019992764420477833,3,3,800,1.7978918065020733e-05,0.2950567457542874,0.9650052171609934,COMPLETE
36,0.054601695947603744,2026-06-26 21:28:28.754431,2026-06-26 21:28:34.172134,0 days 00:00:05.417703,0.9036853859923532,0.03348131270187685,5,1,650,0.0002860866095832423,0.009751819718091312,0.9028729989663846,COMPLETE
37,0.052206043860339765,2026-06-26 21:28:34.178620,2026-06-26 21:28:39.742701,0 days 00:00:05.564081,0.8741132725537294,0.012908259688943283,4,2,800,4.381264716474706e-06,0.05413163807626667,0.9957325712725271,COMPLETE
38,0.056095832940569655,2026-06-26 21:28:39.750160,2026-06-26 21:28:46.244742,0 days 00:00:06.494582,0.8112576727427385,0.01241924248749219,4,10,950,3.6576760824631377e-07,0.00810837117361339,0.9997363052386862,COMPLETE
39,0.09072412717098347,2026-06-26 21:28:46.254473,2026-06-26 21:28:51.841911,0 days 00:00:05.587438,0.7555505786863553,0.0020783861566281343,4,3,800,4.370749631162068e-06,0.0632463921966927,0.9325368155791554,COMPLETE
40,0.05413116337808786,2026-06-26 21:28:51.849673,2026-06-26 21:29:02.785901,0 days 00:00:10.936228,0.678687178541999,0.004968834588609725,10,2,750,2.5134143689078105e-06,0.000913739066305314,0.9660298669643252,COMPLETE
41,0.0544458234673166,2026-06-26 21:29:02.793174,2026-06-26 21:29:06.604179,0 days 00:00:03.811005,0.8714968999966363,0.043400988394179364,3,2,650,4.62226923993775e-05,0.19384530210917744,0.911046493420656,COMPLETE
42,0.05257349895868668,2026-06-26 21:29:06.611700,2026-06-26 21:29:11.552349,0 days 00:00:04.940649,0.9411536217276865,0.019061064622134576,3,1,850,5.092379099169553e-07,0.2929862417132709,0.9465864608557826,COMPLETE
43,0.053988317018374324,2026-06-26 21:29:11.558676,2026-06-26 21:29:16.749436,0 days 00:00:05.190760,0.8411940968833356,0.02516545003393513,4,2,750,1.4833936721921115e-05,0.05045814371465666,0.9772390022813016,COMPLETE
44,0.057871603969681974,2026-06-26 21:29:16.756969,2026-06-26 21:29:20.851850,0 days 00:00:04.094881,0.8903691706874641,0.06384823532373984,3,4,700,7.0378542750627e-06,0.019616897043021667,0.8904961134595126,COMPLETE
45,0.053331118220102544,2026-06-26 21:29:20.858893,2026-06-26 21:29:28.248583,0 days 00:00:07.389690,0.9879285920170487,0.013200343147161989,5,1,900,0.0031071681757261138,0.0858723411938567,0.8532139848174394,COMPLETE
46,0.06135418140460762,2026-06-26 21:29:28.255622,2026-06-26 21:29:32.103679,0 days 00:00:03.848057,0.9177775222737574,0.00846373377014953,4,9,550,0.0005052993331842137,0.32284986949319244,0.9236095784256491,COMPLETE
47,0.0579934399035731,2026-06-26 21:29:32.111920,2026-06-26 21:29:35.878329,0 days 00:00:03.766409,0.8686872558626075,0.011609318152845336,3,4,650,1.4871410885351341e-08,0.004949763636600371,0.9542566832916685,COMPLETE
48,0.060626844098959035,2026-06-26 21:29:35.885836,2026-06-26 21:29:40.785108,0 days 00:00:04.899272,0.9698118350562025,0.20504026776385734,4,2,700,0.0022677300067181307,0.0013923013173922714,0.8096585112592761,COMPLETE
49,0.05981513143285422,2026-06-26 21:29:40.793798,2026-06-26 21:29:45.419509,0 days 00:00:04.625711,0.8925703209199563,0.11871133657984763,3,3,800,1.08148604755984e-06,5.705643209705778e-05,0.9813979432122615,COMPLETE
50,0.055888532426033435,2026-06-27 21:13:22.762057,2026-06-27 21:13:24.443270,0 days 00:00:01.681213,0.8267238576267624,0.036671481478554646,7,1,850,8.458830707944859e-05,0.03515170124511494,0.9142373351433798,COMPLETE
51,0.05298101665700809,2026-06-27 21:13:24.449807,2026-06-27 21:13:25.198959,0 days 00:00:00.749152,0.9093154919964249,0.015019644546699256,4,1,550,0.0006719712627789919,0.0024597405329745566,0.6711771650899847,COMPLETE
52,0.054065535927627216,2026-06-27 21:13:25.205644,2026-06-27 21:13:26.129452,0 days 00:00:00.923808,0.9367301299107841,0.01830576095884887,5,1,600,0.00022632735508264064,0.42805711227347554,0.6856583898820773,COMPLETE
53,0.055014437501910686,2026-06-27 21:13:26.133454,2026-06-27 21:13:26.937338,0 days 00:00:00.803884,0.9065239917076263,0.026525851601119543,4,2,650,0.0018409310836552135,0.000496839262210255,0.8094032648017214,COMPLETE
54,0.052752216831694065,2026-06-27 21:13:26.943346,2026-06-27 21:13:27.698541,0 days 00:00:00.755195,0.8834149978586556,0.015671746294130127,3,1,750,3.645543473755954e-05,0.016194981803510377,0.7383981738333718,COMPLETE
55,0.052115454131358055,2026-06-27 21:13:27.704593,2026-06-27 21:13:28.500679,0 days 00:00:00.796086,0.9293321825720552,0.010044999414098175,4,2,700,0.01572951030975905,0.9959623892758083,0.8804099101647883,COMPLETE
56,0.05145799761597236,2026-06-27 21:13:28.507183,2026-06-27 21:13:29.394474,0 days 00:00:00.887291,0.9543024391749136,0.007478368067077262,5,2,700,0.02757511138478144,0.8749681276916714,0.8844122145963212,COMPLETE
57,0.05478350932077265,2026-06-27 21:13:29.400791,2026-06-27 21:13:30.415114,0 days 00:00:01.014323,0.9548688375114573,0.006313409493574046,6,3,700,0.06742156637761154,0.9163127068366522,0.8406057139744685,COMPLETE
58,0.051493247511114705,2026-06-27 21:13:30.422624,2026-06-27 21:13:31.584822,0 days 00:00:01.162198,0.9250687460970042,0.007669522285369477,5,2,800,0.021265240699634036,0.15414086227771587,0.8889307711892404,COMPLETE
59,0.054013874885729306,2026-06-27 21:13:31.589333,2026-06-27 21:13:32.749324,0 days 00:00:01.159991,0.9867241362336987,0.008320292033538205,5,2,900,0.026803712247027673,0.11467851732876551,0.5944798644837496,COMPLETE
60,0.10557966404305534,2026-06-27 21:13:32.753442,2026-06-27 21:13:33.801737,0 days 00:00:01.048295,0.5009552376252923,0.002666391409347703,6,3,800,0.8957656555975654,6.730609190509512e-06,0.960898907375531,COMPLETE
61,0.05295990628404122,2026-06-27 21:13:33.809246,2026-06-27 21:13:34.804361,0 days 00:00:00.995115,0.9343058464293308,0.00982714462476024,5,2,750,0.20238494248263086,0.19664088165549168,0.8878372906076603,COMPLETE
