number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
31,7.3442006793706256e-06,2026-06-26 21:21:43.653460,2026-06-26 21:21:44.966905,0 days 00:00:01.313445,0.44465289847777334,194,5,700,0.004082599617718469,0.04244356547997495,COMPLETE
32,7.584893910731873e-06,2026-06-26 21:21:44.973790,2026-06-26 21:21:46.016800,0 days 00:00:01.043010,0.4981081969004772,223,6,750,0.0020173592210287607,0.07994036942794436,COMPLETE
33,7.152980139088471e-06,2026-06-26 21:21:46.022804,2026-06-26 21:21:47.375250,0 days 00:00:01.352446,0.2532445966285356,209,4,750,0.005373727197753405,0.03531766807522472,COMPLETE
34,7.615879090040653e-06,2026-06-26 21:21:47.382499,2026-06-26 21:21:49.506068,0 days 00:00:02.123569,0.2541088907263055,153,4,950,0.006529297593496702,0.01835374673636744,COMPLETE
35,7.304711640166621e-06,2026-06-26 21:21:49.513888,2026-06-26 21:21:50.584707,0 days 00:00:01.070819,0.16195974975499428,214,4,850,0.019393636834395166,0.05173394475144323,COMPLETE
36,7.420663610295579e-06,2026-06-26 21:21:50.590081,2026-06-26 21:21:51.364366,0 days 00:00:00.774285,0.3242511000860119,182,4,750,0.0018647662940737535,0.10646570427612256,COMPLETE
37,7.4109943506938825e-06,2026-06-26 21:21:51.371932,2026-06-26 21:21:53.847034,0 days 00:00:02.475102,0.6399423863163192,230,4,950,0.5155174587563879,0.01341533659016648,COMPLETE
38,7.425777389054211e-06,2026-06-26 21:21:53.854815,2026-06-26 21:21:55.676728,0 days 00:00:01.821913,0.29587912986606,243,5,800,1.5329021771105011,0.035960409107402135,COMPLETE
39,8.19960004354139e-06,2026-06-26 21:21:55.676728,2026-06-26 21:21:58.834211,0 days 00:00:03.157483,0.3948542050812171,172,5,600,0.2268972950706117,0.004447628851418178,COMPLETE
40,8.233133929011697e-06,2026-06-26 21:21:58.841895,2026-06-26 21:22:09.427258,0 days 00:00:10.585363,0.1503295435389131,210,10,500,0.006085197182853317,0.009153903090433839,COMPLETE
41,7.143935043802435e-06,2026-06-26 21:22:09.434267,2026-06-26 21:22:10.396271,0 days 00:00:00.962004,0.08653525296322827,219,4,850,0.017404801015977137,0.05771537948504528,COMPLETE
42,7.239257941928272e-06,2026-06-26 21:22:10.402360,2026-06-26 21:22:11.305319,0 days 00:00:00.902959,0.02214299750294256,193,4,850,0.03134789888081413,0.06473987666393823,COMPLETE
43,7.2317508875157365e-06,2026-06-26 21:22:11.311389,2026-06-26 21:22:12.284979,0 days 00:00:00.973590,0.009874310294968394,191,4,950,0.04855713439032038,0.06492516937666613,COMPLETE
44,7.273458846608056e-06,2026-06-26 21:22:12.290994,2026-06-26 21:22:12.988750,0 days 00:00:00.697756,0.020493587894251777,125,4,750,0.06852555616644727,0.2349491590964153,COMPLETE
45,7.3887800021538605e-06,2026-06-26 21:22:12.996315,2026-06-26 21:22:13.913643,0 days 00:00:00.917328,0.0841969823136179,188,4,900,0.03788921210775577,0.06524068965888488,COMPLETE
46,7.401065094108081e-06,2026-06-26 21:22:13.919585,2026-06-26 21:22:14.639726,0 days 00:00:00.720141,0.1255314547571559,201,4,850,0.15324082202939826,0.12369210713941192,COMPLETE
47,7.507375936149404e-06,2026-06-26 21:22:14.647683,2026-06-26 21:22:15.382124,0 days 00:00:00.734441,0.022302849737646513,117,4,200,0.054330118756409716,0.08628381981857962,COMPLETE
48,7.596467831684839e-06,2026-06-26 21:22:15.388313,2026-06-26 21:22:16.417311,0 days 00:00:01.028998,0.059578761148417037,153,4,1000,0.01263298630929538,0.05955142283894554,COMPLETE
49,7.177836694540818e-06,2026-06-26 21:22:16.424492,2026-06-26 21:22:17.324543,0 days 00:00:00.900051,0.11469103037807488,168,4,800,0.11810969979023657,0.1878806838302981,COMPLETE
50,7.298114214488569e-06,2026-06-27 21:09:50.969286,2026-06-27 21:09:51.659498,0 days 00:00:00.690212,0.16648417560007428,164,4,650,0.2614521362085338,0.16760737851365953,COMPLETE
51,7.363980272893e-06,2026-06-27 21:09:51.663654,2026-06-27 21:09:52.211098,0 days 00:00:00.547444,0.0783798195867548,144,4,750,0.10533887682117041,0.19131189957010067,COMPLETE
52,7.177850959259721e-06,2026-06-27 21:09:52.219227,2026-06-27 21:09:52.539073,0 days 00:00:00.319846,0.11070062038610114,195,4,800,0.02835621503759349,0.2336502216963904,COMPLETE
53,7.543227123287918e-06,2026-06-27 21:09:52.549425,2026-06-27 21:09:52.859173,0 days 00:00:00.309748,0.10823404326833536,204,4,800,0.024898859204023877,0.290994683582245,COMPLETE
