number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
36,0.053670019694998496,2026-06-26 21:30:45.183441,2026-06-26 21:30:46.718856,0 days 00:00:01.535415,0.9312083164619761,151,5,1000,4.782611953570277,0.03446903028558813,COMPLETE
37,0.054970080572822766,2026-06-26 21:30:46.725454,2026-06-26 21:30:50.030503,0 days 00:00:03.305049,0.6756127318814847,116,9,800,1.7400708699224658,0.025271185672964613,COMPLETE
38,0.05145126173684226,2026-06-26 21:30:50.038044,2026-06-26 21:30:50.766886,0 days 00:00:00.728842,0.8945884727258934,183,7,200,0.01861066569916869,0.08506658058932534,COMPLETE
39,0.053997497583342643,2026-06-26 21:30:50.774324,2026-06-26 21:30:51.611589,0 days 00:00:00.837265,0.8754418612231232,172,8,150,0.0027750261196000216,0.08749318881010709,COMPLETE
40,0.052138575941485465,2026-06-26 21:30:51.618102,2026-06-26 21:30:52.207291,0 days 00:00:00.589189,0.9687903755193268,189,7,150,0.01969763002066914,0.15068684355175824,COMPLETE
41,0.051707973468314725,2026-06-26 21:30:52.214337,2026-06-26 21:30:52.963096,0 days 00:00:00.748759,0.8196884395168861,211,6,200,0.010390193698912248,0.04918813064915259,COMPLETE
42,0.05178452840238731,2026-06-26 21:30:52.969003,2026-06-26 21:30:53.702026,0 days 00:00:00.733023,0.8235561766435606,179,7,200,0.0038400995875066306,0.0830923871410724,COMPLETE
43,0.05415268315674261,2026-06-26 21:30:53.708281,2026-06-26 21:30:54.868022,0 days 00:00:01.159741,0.8228363748293134,210,8,250,0.006933172575823283,0.05264846074491631,COMPLETE
44,0.05228156743103405,2026-06-26 21:30:54.875663,2026-06-26 21:30:55.691001,0 days 00:00:00.815338,0.8105963763157394,181,7,200,0.0037614520882570195,0.078583522557011,COMPLETE
45,0.05250563834704021,2026-06-26 21:30:55.697851,2026-06-26 21:30:56.393851,0 days 00:00:00.696000,0.9166815730947808,164,7,350,0.01389281958319616,0.11495747224291854,COMPLETE
46,0.056522590186544076,2026-06-26 21:30:56.400382,2026-06-26 21:30:57.086733,0 days 00:00:00.686351,0.8691015271597032,223,8,100,0.0033295505123662117,0.04790615808279981,COMPLETE
47,0.05383826047822834,2026-06-26 21:30:57.093288,2026-06-26 21:30:57.547045,0 days 00:00:00.453757,0.6962329268807659,194,6,200,0.008551160233536859,0.2267455829749685,COMPLETE
48,0.05243881352115833,2026-06-26 21:30:57.554433,2026-06-26 21:30:58.942183,0 days 00:00:01.387750,0.7873361195860288,182,7,500,0.004262294521718535,0.032127815986603504,COMPLETE
49,0.05355972515676057,2026-06-26 21:30:58.948708,2026-06-26 21:31:00.051983,0 days 00:00:01.103275,0.8976013470500148,201,9,300,0.0011674266654212626,0.10833088097473262,COMPLETE
50,0.05272417557084961,2026-06-27 21:14:27.401903,2026-06-27 21:14:27.916882,0 days 00:00:00.514979,0.8367959296153392,142,5,400,0.0025498945398772,0.06789267640826287,COMPLETE
51,0.0519903584197988,2026-06-27 21:14:27.923944,2026-06-27 21:14:28.296661,0 days 00:00:00.372717,0.9769201954398302,156,6,200,0.012498511849280629,0.08198421958877604,COMPLETE
52,0.05168501793770884,2026-06-27 21:14:28.296661,2026-06-27 21:14:28.646761,0 days 00:00:00.350100,0.9811120763118301,171,6,200,0.012643007256182743,0.0909541404431673,COMPLETE
53,0.051677900816789114,2026-06-27 21:14:28.654753,2026-06-27 21:14:28.968423,0 days 00:00:00.313670,0.9575668869730452,173,7,300,0.005678495027559923,0.1989613498923662,COMPLETE
