number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
34,0.6112834931355631,2026-06-26 21:33:42.284790,2026-06-26 21:33:43.190241,0 days 00:00:00.905451,0.8642809374345624,0.1777029036261868,6,3,950,0.001009744091738388,6.787301765555402e-06,0.8895941809253565,COMPLETE
35,0.5977407801963089,2026-06-26 21:33:43.197663,2026-06-26 21:33:43.994021,0 days 00:00:00.796358,0.725698421827749,0.05419433994555309,3,2,900,0.07470609708568912,1.9984835989657237e-07,0.9669980766099431,COMPLETE
36,0.4918485668188783,2026-06-26 21:33:43.999004,2026-06-26 21:33:44.967427,0 days 00:00:00.968423,0.9205534697119487,0.038593646443237,4,2,950,0.0021298899106339452,0.00014063392693554333,0.9998737827575845,COMPLETE
37,0.5249872480063325,2026-06-26 21:33:44.974471,2026-06-26 21:33:45.851595,0 days 00:00:00.877124,0.9762875408701768,0.1026408109162196,7,1,850,0.02346247621776892,5.021156311620903e-06,0.8127351440715505,COMPLETE
38,0.44873388541535464,2026-06-26 21:33:45.857651,2026-06-26 21:33:47.128473,0 days 00:00:01.270822,0.8488508626893422,0.019543287771735023,5,2,1000,0.13090703296310416,1.0947558036208827e-07,0.9242462762584746,COMPLETE
39,0.8108404575183874,2026-06-26 21:33:47.135531,2026-06-26 21:33:48.056684,0 days 00:00:00.921153,0.809745830151973,0.012373362062151779,8,8,800,0.0006685278318579368,4.897828453023484e-07,0.8349624394522411,COMPLETE
40,0.35633743091567316,2026-06-26 21:33:48.061667,2026-06-26 21:33:49.194869,0 days 00:00:01.133202,0.7741872983948626,0.07916161466459463,6,3,950,0.003940606655228533,0.00010419890922181942,0.8841200603006387,COMPLETE
41,0.3871066978452599,2026-06-26 21:33:49.200849,2026-06-26 21:33:50.411002,0 days 00:00:01.210153,0.7814760512870378,0.07654669601213121,6,5,950,0.004335302366875576,0.00019388498362521574,0.8760574519196405,COMPLETE
42,0.36711009956706436,2026-06-26 21:33:50.417087,2026-06-26 21:33:51.279423,0 days 00:00:00.862336,0.7189652458456727,0.1162278169264131,6,3,900,0.36501087147279004,0.0021440234549939814,0.9446579912240298,COMPLETE
43,0.4028245928232919,2026-06-26 21:33:51.284689,2026-06-26 21:33:52.100300,0 days 00:00:00.815611,0.7688700079243398,0.20817274715986675,5,1,1000,0.002993882569861886,2.0672307687062086e-08,0.8862301153015631,COMPLETE
44,0.38830620087104856,2026-06-26 21:33:52.107390,2026-06-26 21:33:53.346189,0 days 00:00:01.238799,0.8152309665863446,0.13165397420206032,7,5,950,0.010007315823719318,6.585896064962561e-08,0.8536978534047046,COMPLETE
45,0.37910389274435674,2026-06-26 21:33:53.352169,2026-06-26 21:33:54.468397,0 days 00:00:01.116228,0.5347036566752835,0.056392824774264404,6,6,850,0.0001982924168783655,2.5558545633493457e-07,0.9811096741576264,COMPLETE
46,0.4813179520878239,2026-06-26 21:33:54.475374,2026-06-26 21:33:55.605247,0 days 00:00:01.129873,0.7008543285981417,0.034647116121913915,5,4,950,0.061935153189527116,8.142034729044363e-05,0.803089763135486,COMPLETE
47,4.236734891626466,2026-06-26 21:33:55.611227,2026-06-26 21:33:56.802461,0 days 00:00:01.191234,0.6569674166368821,0.0016109934927966219,7,3,850,3.4700666646195335e-05,1.3990815240152393e-05,0.5301744262739261,COMPLETE
48,0.627114073129737,2026-06-26 21:33:56.808518,2026-06-26 21:33:57.765899,0 days 00:00:00.957381,0.9956083594373005,0.09187278842158565,8,2,750,0.016571396296428415,5.812604569468702e-06,0.9008940678110862,COMPLETE
49,0.25269426726105343,2026-06-26 21:33:57.772876,2026-06-26 21:33:58.256443,0 days 00:00:00.483567,0.745544907595963,0.06681910874550556,6,1,350,0.001762227759028465,0.005368469451405562,0.9253278331125464,COMPLETE
50,0.3529313693904127,2026-06-27 21:17:01.985055,2026-06-27 21:17:02.606858,0 days 00:00:00.621803,0.7418541310777278,0.021169682062014385,5,1,400,0.00049274659212475,0.03745285477967381,0.9347445686438863,COMPLETE
51,0.415915956079278,2026-06-27 21:17:02.614187,2026-06-27 21:17:02.947233,0 days 00:00:00.333046,0.7384308990195817,0.022941370591899227,5,1,250,0.00044622657084195246,0.05509720782783033,0.9363245511846365,COMPLETE
52,0.7293740079254005,2026-06-27 21:17:02.954035,2026-06-27 21:17:03.537179,0 days 00:00:00.583144,0.7514653851269718,0.009049317790452772,5,1,400,8.867525156144351e-05,0.08371476567241959,0.9782984862355418,COMPLETE
53,0.25356954058009007,2026-06-27 21:17:03.543166,2026-06-27 21:17:04.299267,0 days 00:00:00.756101,0.7956733027901451,0.016158473291346977,6,1,500,0.001465420261926814,0.0032801269037187157,0.9609916056648232,COMPLETE
54,0.6703604272611882,2026-06-27 21:17:04.306913,2026-06-27 21:17:04.704921,0 days 00:00:00.398008,0.7984063287237214,0.015248362984906774,6,2,250,0.00855980244514783,0.008668081389864505,0.9145888143714046,COMPLETE
55,5.330599334604062,2026-06-27 21:17:04.711722,2026-06-27 21:17:05.035102,0 days 00:00:00.323380,0.8522974233161362,0.005029075501187341,6,1,200,0.0015334298321459292,0.003863555892888016,0.9606679226700504,COMPLETE
56,0.28161486160986376,2026-06-27 21:17:05.041619,2026-06-27 21:17:05.709249,0 days 00:00:00.667630,0.7133570303536652,0.03346517835915227,7,1,500,0.03162000888596836,0.00043354976499346515,0.99759712686519,COMPLETE
57,0.41496557919639016,2026-06-27 21:17:05.715105,2026-06-27 21:17:06.408901,0 days 00:00:00.693796,0.6990525546520092,0.030948218067823483,7,2,550,0.35849322772471687,0.0007577018161362393,0.988810156478947,COMPLETE
58,0.36124311399315523,2026-06-27 21:17:06.416289,2026-06-27 21:17:06.991136,0 days 00:00:00.574847,0.7914673435052832,0.04598735848904173,8,1,500,0.034841199315744156,0.007191887504611838,0.9943271790692321,COMPLETE
59,0.3991097140047512,2026-06-27 21:17:06.996648,2026-06-27 21:17:07.580564,0 days 00:00:00.583916,0.6421604968061473,0.03959875448279411,7,2,450,0.08925922548717093,0.0019467101442886135,0.9681925584636454,COMPLETE
60,0.26711673511265055,2026-06-27 21:17:07.587079,2026-06-27 21:17:08.415918,0 days 00:00:00.828839,0.7140398631700451,0.016223792768328034,6,1,600,0.007078022238011995,0.0004455202356603854,0.8628930643930665,COMPLETE
61,0.274156494797389,2026-06-27 21:17:08.420750,2026-06-27 21:17:09.266828,0 days 00:00:00.846078,0.7199376651518121,0.0154908028360229,6,1,600,0.007494799587354376,0.0002710165024017024,0.8613933955560467,COMPLETE
62,0.2967779789983246,2026-06-27 21:17:09.275200,2026-06-27 21:17:10.170927,0 days 00:00:00.895727,0.6911418929655371,0.009992290039665128,6,1,600,0.008074609302562572,0.00039727992386027805,0.863170014320768,COMPLETE
63,0.44209755722093735,2026-06-27 21:17:10.176939,2026-06-27 21:17:11.079165,0 days 00:00:00.902226,0.7597223309101319,0.015102876030040855,6,2,650,0.0023130636748140087,0.0021945721434204583,0.8322044233905853,COMPLETE
64,0.5095043887556749,2026-06-27 21:17:11.084744,2026-06-27 21:17:11.990775,0 days 00:00:00.906031,0.8268785334058044,0.006302984189099772,6,1,600,0.02004464384295351,0.004107169161086754,0.9083648233051526,COMPLETE
65,0.291011931174369,2026-06-27 21:17:11.997788,2026-06-27 21:17:12.784769,0 days 00:00:00.786981,0.8068300700170201,0.01180702004518176,6,1,550,0.007298720829129301,0.01616860737058428,0.789120101733861,COMPLETE
66,0.5050752501416167,2026-06-27 21:17:12.790517,2026-06-27 21:17:13.592767,0 days 00:00:00.802250,0.5838787596437847,0.016430818553751975,6,2,650,0.006006962663935002,0.8717474727136595,0.7526087725568003,COMPLETE
67,0.46791015617714393,2026-06-27 21:17:13.598278,2026-06-27 21:17:13.911101,0 days 00:00:00.312823,0.729734275231991,0.027808053580721248,7,1,150,0.017174167683500267,1.6460828870384913e-08,0.8425727114136213,COMPLETE
68,0.3375243178561439,2026-06-27 21:17:13.915104,2026-06-27 21:17:14.387160,0 days 00:00:00.472056,0.6798289268339245,0.06467335018813235,6,2,350,0.0008111456462117896,0.14884320024289538,0.8692136219253357,COMPLETE
69,0.29333432108524776,2026-06-27 21:17:14.394737,2026-06-27 21:17:15.312927,0 days 00:00:00.918190,0.7816629362767424,0.024301319042455295,6,1,650,0.001956655659099336,0.0002515172841148046,0.8921380142805275,COMPLETE
70,0.7349541522063012,2026-06-27 21:17:15.318205,2026-06-27 21:17:16.062156,0 days 00:00:00.743951,0.75688149274679,0.00819999659830456,7,2,450,0.16794696832522532,3.572881625007919e-05,0.9145709991236384,COMPLETE
71,0.34420089825528255,2026-06-27 21:17:16.069042,2026-06-27 21:17:16.813075,0 days 00:00:00.744033,0.7126588791432387,0.013197755654788007,7,1,500,0.06181059775088658,0.0008937345444412143,0.9265916960591868,COMPLETE
72,0.3447385654722991,2026-06-27 21:17:16.818086,2026-06-27 21:17:17.668940,0 days 00:00:00.850854,0.7280512443621441,0.017246110522669122,7,1,550,0.030548902860297416,0.00030673214549084945,0.949726991934868,COMPLETE
73,0.2791701144006856,2026-06-27 21:17:17.672527,2026-06-27 21:17:18.340254,0 days 00:00:00.667727,0.7118888826116876,0.048019818094501246,6,1,450,0.03434670993033118,0.0005729108720457091,0.857577414443408,COMPLETE
74,0.2952690227428142,2026-06-27 21:17:18.344787,2026-06-27 21:17:18.917048,0 days 00:00:00.572261,0.6800996262766702,0.02050333837678545,6,1,350,0.013416184527577932,0.0014944610358265911,0.8483469091090471,COMPLETE
75,0.29394352645707517,2026-06-27 21:17:18.924945,2026-06-27 21:17:19.578712,0 days 00:00:00.653767,0.7905953002764681,0.04993780867148332,6,1,400,0.0031903423992205656,3.3252232201360226e-08,0.823083612817433,COMPLETE
76,0.36297695624312026,2026-06-27 21:17:19.584693,2026-06-27 21:17:20.162618,0 days 00:00:00.577925,0.8370579788507371,0.0644963726811976,5,1,450,0.00025988282788020977,7.020830177379851e-05,0.8839904953845131,COMPLETE
77,0.41206340740918146,2026-06-27 21:17:20.167513,2026-06-27 21:17:20.985029,0 days 00:00:00.817516,0.7675412818995554,0.04211291604572658,6,2,600,6.940671327655399e-08,0.016289692932476858,0.8605719517254103,COMPLETE
78,0.28361563745244645,2026-06-27 21:17:20.992725,2026-06-27 21:17:21.586980,0 days 00:00:00.594255,0.7455275547541744,0.025953842123650737,6,1,450,0.10175533152066694,1.0233407300024869e-08,0.9007292206821521,COMPLETE
79,0.4824903273241211,2026-06-27 21:17:21.593353,2026-06-27 21:17:22.512491,0 days 00:00:00.919138,0.8027337071497815,0.038409070715772486,5,2,750,0.0462088792436151,0.005362075968424955,0.8784645907549697,COMPLETE
80,0.4539442786372545,2026-06-27 21:17:22.518772,2026-06-27 21:17:23.186939,0 days 00:00:00.668167,0.6427837320830797,0.010578522747914914,6,1,400,1.382895502738175e-06,0.0006084488872383934,0.8030777427728448,COMPLETE
81,0.2845802103759105,2026-06-27 21:17:23.192243,2026-06-27 21:17:23.707088,0 days 00:00:00.514845,0.7000003903658905,0.03142821406946783,7,1,300,0.02632362578061256,0.00016710508776142431,0.9576241368505516,COMPLETE
82,0.2552530795172565,2026-06-27 21:17:23.712092,2026-06-27 21:17:24.432838,0 days 00:00:00.720746,0.7098959141752652,0.04878124928637805,6,1,550,0.01167633685341038,0.0009559283507166394,0.9224510308622589,COMPLETE
83,0.3713595218586215,2026-06-27 21:17:24.437203,2026-06-27 21:17:25.115006,0 days 00:00:00.677803,0.6661853133304416,0.0533460482298824,6,2,500,0.005598670691748508,0.0013653875094421413,0.9231570931985318,COMPLETE
84,0.22078483826880682,2026-06-27 21:17:25.122394,2026-06-27 21:17:25.739081,0 days 00:00:00.616687,0.7164414505837428,0.06955371415378303,6,1,550,0.0012551398011877899,6.921589191309522e-08,0.943920039573697,COMPLETE
85,0.22588173229709066,2026-06-27 21:17:25.744999,2026-06-27 21:17:26.238886,0 days 00:00:00.493887,0.7146485332698157,0.09390787117453765,6,1,550,0.001094350361854915,0.003119303206350224,0.935748944127005,COMPLETE
