number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
63,0.3733874698926195,2026-06-27 21:17:43.204696,2026-06-27 21:17:44.054789,0 days 00:00:00.850093,0.38730003083455894,216,4,950,0.005003884466511558,0.15937999994313876,COMPLETE
64,0.5491030627570215,2026-06-27 21:17:44.062215,2026-06-27 21:17:44.514870,0 days 00:00:00.452655,0.3790963748853085,216,4,1000,0.0018571084341940597,0.2551674687828602,COMPLETE
65,0.4757978322568307,2026-06-27 21:17:44.514870,2026-06-27 21:17:45.165661,0 days 00:00:00.650791,0.246070304096507,207,4,950,0.007463199763041111,0.16444815533606474,COMPLETE
66,0.6494871072752022,2026-06-27 21:17:45.174460,2026-06-27 21:17:45.970174,0 days 00:00:00.795714,0.3845842545974442,191,5,1000,0.0035104995168688605,0.19800202142707088,COMPLETE
67,0.455372460209841,2026-06-27 21:17:45.974682,2026-06-27 21:17:46.697599,0 days 00:00:00.722917,0.5118586001066328,166,4,900,0.009970783111830556,0.09592883666273323,COMPLETE
68,0.6676699319173028,2026-06-27 21:17:46.697599,2026-06-27 21:17:47.224805,0 days 00:00:00.527206,0.33471064219431934,153,5,500,0.027795997560372727,0.2138910044064153,COMPLETE
69,0.450722552726726,2026-06-27 21:17:47.233503,2026-06-27 21:17:48.067239,0 days 00:00:00.833736,0.3458666453326296,82,4,950,2.6933390557696795,0.1644285474848357,COMPLETE
70,0.5803567168830849,2026-06-27 21:17:48.074845,2026-06-27 21:17:48.786718,0 days 00:00:00.711873,0.5569684643389798,197,4,1000,1.2429635912296442,0.27112958494157235,COMPLETE
71,0.454303804523925,2026-06-27 21:17:48.786718,2026-06-27 21:17:49.524477,0 days 00:00:00.737759,0.46832720029742125,228,4,850,0.8460562785004857,0.12436800275835212,COMPLETE
72,0.34460201096645005,2026-06-27 21:17:49.524477,2026-06-27 21:17:50.288978,0 days 00:00:00.764501,0.4318438130104922,243,4,800,1.6054696725053808,0.1452067799405552,COMPLETE
73,0.45746790711234403,2026-06-27 21:17:50.294690,2026-06-27 21:17:50.950654,0 days 00:00:00.655964,0.41737142537810434,248,4,700,1.333611786345,0.1090837238641898,COMPLETE
74,0.5669210941785086,2026-06-27 21:17:50.954511,2026-06-27 21:17:51.717204,0 days 00:00:00.762693,0.010887749088927756,234,4,800,3.8223393850959075,0.06963639013560431,COMPLETE
75,0.3660204996068167,2026-06-27 21:17:51.717204,2026-06-27 21:17:52.489004,0 days 00:00:00.771800,0.313140531646886,246,4,900,1.648794222414631,0.14497953518946216,COMPLETE
76,0.5012091086894085,2026-06-27 21:17:52.494451,2026-06-27 21:17:53.334380,0 days 00:00:00.839929,0.3664973605009256,245,4,900,1.7691615337027993,0.08548405720713112,COMPLETE
77,0.6101429181915823,2026-06-27 21:17:53.334380,2026-06-27 21:17:54.154524,0 days 00:00:00.820144,0.15941310231076256,237,5,700,5.745500774747718,0.15242896849833254,COMPLETE
78,0.428862943250145,2026-06-27 21:17:54.156265,2026-06-27 21:17:54.954735,0 days 00:00:00.798470,0.26495093663603575,219,4,850,0.5495695799963461,0.19582016067804606,COMPLETE
79,0.501434001706922,2026-06-27 21:17:54.964579,2026-06-27 21:17:55.714498,0 days 00:00:00.749919,0.22435263426768493,223,4,800,2.3443556673860173,0.12197115648954317,COMPLETE
80,0.677365533540818,2026-06-27 21:17:55.714498,2026-06-27 21:17:56.437936,0 days 00:00:00.723438,0.30991470492234025,248,5,650,2.7948417359917546,0.10508779813048758,COMPLETE
81,0.35180702407838227,2026-06-27 21:17:56.446710,2026-06-27 21:17:57.224733,0 days 00:00:00.778023,0.4322148721703047,231,4,900,1.1186219820307164,0.15049685299963178,COMPLETE
82,0.3601304651048001,2026-06-27 21:17:57.224733,2026-06-27 21:17:58.055187,0 days 00:00:00.830454,0.43054647594639556,212,4,900,1.413008281030716,0.14487665442456468,COMPLETE
